,Text,Class
0,pwc australia provided google confidential information about the start date of a new tax avoidance law leaked from government tax briefings two sources familiar with the matter told reuters.  this is the first time a company has been directly linked to the national scandal involving the big four accounting firm that was first revealed in january. pwc is under fire because several years ago a former partner peter collins who advised the government on antitax avoidance laws shared confidential drafts with colleagues about the governments plans that were then used to drum up business with multinational companies. in one instance one of these colleagues emailed a google employee in august 2015 to confirm the likely start date for the governments multinational antiavoidance law maal according to one of the sources. while the january 1 2016 start date for the law had been announced in the governments budget papers in may 2015 the confirmation that the government would go ahead with that date came from confidential government briefings the source said. at the time a number of organisations had called for the government to delay the planned january 2016 start date. the former partner did not tell google the information was confidential the source said. the sources asked not to be named as the information has not been authorised for public release.,business
1,gold price falls while grey metal shines by himalayan news service published am jul file photofile photo kathmandu july price of yellow metal decreased while that of silver increased in trading week between june in domestic market gold price decreased by rs per tola while silver price rose by rs a tola during review weekaccording to rate list of federation of nepal gold silver dealers association fene gosida gold price was fixed at rs per tola when market opened for trading on sunday gold prices increased by rs a tola on monday before increasing again by rs per tola to rs a tola on tuesday price of yellow metal decreased by rs per tola on wednesday before decreasing again by rs a tola on thursdayon friday gold price rose by rs per tola to close trading week at rs a tolameanwhile silver was traded at rs per tola on sunday it increased by rs a tola on monday price of grey metal increased by rs per tola on tuesday remained unchanged next day its price fell by five rupees a tola on thursday before falling again by rs per tola on friday to settle at rs a tola for weekaccording to international news agencies gold was bound for its first quarterly decline in three squeezed by expectations for more us interest rate hikes while moderate inflation prints provided some support on fridayprices have shed per cent this quarter dropping from levels just shy of alltime highs at in may caused by nervousness about health of us banking sector to below on thursday dollar index year treasury yields were both set to gain this quarter eroding golds appeal for investors holding other currencies,business
2,regulatory crackdowns on binance from australia to europe and the us are becoming a drag on its business.  the heightened scrutiny has also prompted banking partners such as westpac to drop binance limiting clients ability to deposit and withdraw fiat money on the exchange. at a twitter spaces on wednesday binance founder changpeng cz zhao acknowledged that external pressure has hurt the company.  many of those things are outside of our control but short term they have negative impacts on our business he said. the platforms global share of crypto spot trading fell for a fourth consecutive month in june reaching a 10month low of 42 per cent according to a report from ccdata on wednesday.  binances derivatives market share also dropped. asics review of the derivatives operation includes binance australias classification of retail and wholesale clients.  the company said in april it would wind down the local derivatives exchange while keeping the spot platform open.  the firm previously said it had closed the derivatives positions of some australian users because they were incorrectly classified as wholesale investors.,business
3,at a twitter spaces on wednesday binance founder changpeng ‘cz’ zhao acknowledged that “external pressure” has hurt company “many of those things outside of our control but short term they have negative impacts on our business” he said platform’s global share of crypto spot trading fell for a fourth consecutive month in june reaching a month low of per cent according to a report from ccdata on wednesday binance’s derivatives market share also dropped asic’s review of derivatives operation includes binance australia’s classification of retail wholesale clients company said in april it would wind down local derivatives exchange while keeping spot platform open firm previously said it had closed derivatives positions of some australian users because they were incorrectly classified as wholesale investors,business
4,nepses fourday upward trend came to an end on wednesday as it recorded a loss of points equivalent to a decline in previous four trading days market had seen significant growth rising from to a substantial gain of points yesterday alone market surged by an impressive points closing at market opened today at points reached a high of before dropping to a low of it eventually closed at pointsduring day a total of scrips were traded through transactions with a trading volume of shares a turnover of rs arba this indicates that despite markets decline investors still hold optimism towards nepse himalayan life insurance limited hli had highest turnover among listed companies with a value of rs crores shivm shl followed with turnovers of rs crores rs crores respectivelyhli witnessed a trading volume of unit shares through transactions with last traded price at rs among listed scripts hli bpw saw positive gains today while city came close to reaching upper circuit with a increaseon other hand ingwa hydropower limited ihl experienced largest decline with its share price dropping by out of sector subindices only life insurance sector closed in positive territory while all other sectors closed with losses,business
5,nabil bank ltd has bagged platinum award in infosys finacle innovation award under product innovation category for launch of nbanknabil bank was selected as winner out of over nominations across categories as per a press statement expressing his gratitude chief executive officer of bank gyanendra prasad dhungana stated that this award has exemplified unwavering dedication of bank to inspire better banking with innovative strategieshe further said that bank committed to create unparalleled value for their customers employees investors wider community nbank nabil banks mobile banking platform first in nepal to provide a completely digital banking experience to customers without having to fill out a single physical form visit any branch,business
6,kathmandu marriott hotel fairfield by marriott have announced that they have been awarded a for food safety rating by government of nepals ministry of agriculture livestock development department of food technology quality controlthis recognition a testament to hotels unwavering commitment to maintaining highest standards of hygiene food safety ensuring wellbeing of its guests staff as per a media release a rating system based on a comprehensive evaluation of food safety hygiene practices including food handling preparation storage servicethe hotels food safety practices were found to be of highest standard meeting exceeding all government requirements,business
7,a recent assessment conducted by international finance corporation ifc securities board of nepal sebon has shown that nepals capital market regulated by sebon seeing remarkable growth driven primarily by its equity markets yet it holds potential for even greater expansion diversification through its debt markets study examines current structure of capital market recommends expanding into debt market to support nepals substantial financing needs its sustainable economic development goals particularly as country progresses towards ldc least developed country graduation commits to becoming a net zero nation by to realise this potential sebon ifc collaborating on a comprehensive bond market reform development programme aimed at enhancing corporate bond issuances in nepal nepal stock exchange nepse has played a pivotal role in supporting equity market growth boasting a market capitalisation of billion as of which accounts for per cent of countrys gdpin contrast debt markets in nepal constitute a smaller portion of overall capital markets currently country has three operational debt markets money markets government debt markets corporate debt markets money market although small lacks corporate money market instruments government debt markets dominate accounting for a substantial per cent sharehowever corporate bond markets remain in their nascent stage primarily limited to bond issuances from banks attracting a limited group of institutional investors including insurance companies mutual funds other financial institutionsthe debt markets in nepal possess significant untapped potential streamlining bond issuance process introducing a book building mechanism enhancing transparency imperative to attract both domestic international investors said martin holtmann ifc country manager for nepal bangladesh bhutan by implementing these measures nepal can create a conducive environment for growth of debt markets unlocking new financing opportunities for businesses infrastructure developmentto fully unlock nepals debt market potential it essential to address regulatory operational challengesin offshore bond issuance space although there enabling legal provisions current regulatory regime does not fully support facilitate such issuances this limitation restricts potential for international participation limits growth of bond marketthe bond issuance process itself often cumbersome manual leading to delays inefficiencies introducing a book building mechanism currently absent in bond markets would enhance transparency efficiency in pricing allocationmoreover there a lack of incentives for issuers to opt for bond issuance restrictions on unlisted companies issuing bonds inadequate provisions for investment in debentures issued by real sector energy companies for priority sector lending hinder market developmentthis a such an important agenda nepals infrastructure investment needs wont be met until we have a vibrant bond market we partnering with ifc to bring in required reforms said ramesh kumar hamal chairman of sebon we need to look into areas of specific regulation to resolve fundamental issues that hampering development of a strong bond market this assessment offers very good lessons from other countriesefforts underway to streamline bond issuance process introduce a price discovery mechanism through a bookbuilding system facilitate dematerialisation of government securities consolidation of development bond issuances aims to create larger benchmark securities enhancing liquidity fostering development of a yield curve introduction of a primary dealer market maker framework will improve pricing in primary market enhance secondary market liquidity,business
8,national planning commission npc has initiated its work procedure to prepare th fiveyear plan during upcoming fiscal year commission held a meeting with journalists today seeking their suggestions queries regarding formation implementation of commissions fiveyear plan speaking at meeting min bahadur shrestha vicechairman of npc emphasised need to restructure commission for effective monitoring evaluation of projects informed that commission already taking necessary steps to do just thathe also stressed on resolving problems seen in project selection construction implementation monitoring evaluation restructuring commission in order to establish npc as a strong effective body restructuring necessary to solve issues seen at present th fiveyear plan which being prepared will give priority to digital database egovernance he said adding that programmes to maximise use of natural resources create employment opportunities reduce dependency on remittances will also be included in upcoming plansimilarly stating that th fiveyear plan was successful in meeting its targets compared to previous fiveyear plans brought forward by npc shrestha blamed spread of covid followed by war between russia ukraine amidst external internal economic slowdown for reasons behind a lessthanexpected output from th fiveyear plan that set to draw to a close by end of current fiscal yearwhile th fiveyear plan has received negative feedback in terms of meeting targets set we were also able to identify issues seen in respective sectors as a result have started brainstorming with experts related stakeholders he shared,business
9,nepal airlines corporation all set to operate direct flights from bhairahawa to hong kong national flagcarrier which presently conducting direct flight to hong kong from kathmandu making preparations to operate direct flight to hong kong from bhairahawa with goal of bringing maximum number of tourists through air connectivity between hong kong lumbini birth place of buddhanepal airlines also plans to operate flight from bhairahawa to new delhi india soon ramesh poudel spokesperson for nepal airlines said final preparations being made to operate direct flights from bhairahawa to hong kong new delhi we have made preparation for bhairahawahong kong flight it will be finalized in a day two we also plan to expand flight to other countries as well including new delhi of india he saidaccording to spokesperson poudel ticket bookings would be opened within days from now for flights to both hong kong new delhi nepal airlines planning to operate flights to more destinations as dubai doha as wellnepal airlines operating weekly two flights to hong kong from kathmandu at present daily two flights to new delhipoudel said how many flights would be operated to these destinations from bhairahawa not finalized yetnepal airlines has been operating regular flights from bhirahawabased gautam buddha international airport from june it has been operating flights on bhairahawamalaysia malaysiabhairahawakathmandu routesbhairahawa airport came into commercial operation since may jazeera air had been operating flights to this airport since then but has suspended flights lately citing technical reasons,business
